"20","2009",NULL,NULL,"0007278260015680","Luciana Elisa Lozada Tenório","Organização de evento","Evento","Atuação como Secretária Geral do III Simpósio Acadêmico de Violões da Embap"
"21","2010",NULL,NULL,"0007278260015680","Luciana Elisa Lozada Tenório","Organização de evento","Evento","Atuação como Secretária Geral do IV Simpósio Acadêmico de Violões da Embap"
"22","2012",NULL,NULL,"0007278260015680","Luciana Elisa Lozada Tenório","Organização de evento","Evento","Organização de Concerto de Violão na Série GOVIO: Fabrício Mattos"
"23","2012",NULL,NULL,"0007278260015680","Luciana Elisa Lozada Tenório","Organização de evento","Evento","Organização de Concerto de Violão na Série GOVIO: Vladimir Gorbach (Rússia)"
"24","2012",NULL,NULL,"0007278260015680","Luciana Elisa Lozada Tenório","Organização de evento","Evento","Organização de Concerto de Violão na Série GOVIO: Ögmundur Thor Jóhannesson (Finlândia)"
"25","2011",NULL,NULL,"0007278260015680","Luciana Elisa Lozada Tenório","Organização de evento","Evento","Organização de Concerto de Violão na Série GOVIO: Eduardo Meirinhos"
"26","2011",NULL,NULL,"0007278260015680","Luciana Elisa Lozada Tenório","Organização de evento","Evento","Organização de Concerto de Violão na Série GOVIO: Judicael Perroy (França)"
"27","2011",NULL,NULL,"0007278260015680","Luciana Elisa Lozada Tenório","Organização de evento","Evento","Organização de concerto de Violão na Série GOVIO: Márlou Peruzzolo"
"28","2016",NULL,NULL,"0007278260015680","Luciana Elisa Lozada Tenório","Organização de evento","Evento","Organização de ""Brainstorm! Série de Musique"""
"29","2014",NULL,NULL,"0007278260015680","Luciana Elisa Lozada Tenório","Organização de evento","Evento","Organização de Concerto-Palestra: ""La musique de la Renaissance en Espagne"""
"30","2011",NULL,NULL,"0007278260015680","Luciana Elisa Lozada Tenório","Organização de evento","Evento","Organização de Concerto de Violão na Série GOVIO: Andreas Von Vangenheim (Alemanha/Suiça)"
"31","2010",NULL,NULL,"0007278260015680","Luciana Elisa Lozada Tenório","Relatório de pesquisa","Produção técnica","SONATA ANDINA DE JAIME M. ZENAMON: ANÁLISE TÉCNICO-INTERPRETATIVA RESGATANDO A VISÃO DO COMPOSITOR SOBRE SUA OBRA"
"32",NULL,NULL,NULL,"0007278260015680","Luciana Elisa Lozada Tenório","Artes Visuais","Produção artística/cultural",NULL
"33","2008",NULL,NULL,"0007278260015680","Luciana Elisa Lozada Tenório","Artes Cênicas","Produção artística/cultural","Atuação como cantora na peça de teatro intitulada Seu Nome é João"
"34","2009",NULL,NULL,"0007278260015680","Luciana Elisa Lozada Tenório","Música","Produção artística/cultural","Concerto como violonista e cantora, integrante do Duo Lúdico de violões, no espetáculo intitulado A Música Latina e sua Diversidade"
"35","2008",NULL,NULL,"0007278260015680","Luciana Elisa Lozada Tenório","Música","Produção artística/cultural","Concerto no projeto municipal Convite à Música: Aluísio Barros e Luciana Tenório - Duo de Violões, em que atuou como violonista"
"36","2009",NULL,NULL,"0007278260015680","Luciana Elisa Lozada Tenório","Música","Produção artística/cultural","Concerto do Duo Lúdico no projeto municipal Convite à Música, em Maringá-PR, onde atuou como cantora e violonista"
"37","2006",NULL,NULL,"0007278260015680","Luciana Elisa Lozada Tenório","Música","Produção artística/cultural","Duo de Violões"
"38","2004",NULL,NULL,"0007278260015680","Luciana Elisa Lozada Tenório","Música","Produção artística/cultural","Camerata de Violões da UEM"
"39","2006",NULL,NULL,"0007278260015680","Luciana Elisa Lozada Tenório","Música","Produção artística/cultural","Conjunto de Flautas da UEM"
"40","2007",NULL,NULL,"0007278260015680","Luciana Elisa Lozada Tenório","Música","Produção artística/cultural","Orquestra de Violões da Embap"
"41","2007",NULL,NULL,"0007278260015680","Luciana Elisa Lozada Tenório","Música","Produção artística/cultural","Orquestra de Violões da EMBAP"
"42","2006",NULL,NULL,"0007278260015680","Luciana Elisa Lozada Tenório","Música","Produção artística/cultural","Recital do Curso Básico em Canto"
"43","2010",NULL,NULL,"0007278260015680","Luciana Elisa Lozada Tenório","Música","Produção artística/cultural","Cantou no Concerto do Coro Feminino: Obras de Villa-lobos e Mendelssohn; na série de música do Teatro Positivo, em Curitiba."
"44","2010",NULL,NULL,"0007278260015680","Luciana Elisa Lozada Tenório","Música","Produção artística/cultural","Cantou no concerto do coro feminino Collegium Cantorum intitulado Romantismo Alemão para Órgão e Vozes"
"45","2010",NULL,NULL,"0007278260015680","Luciana Elisa Lozada Tenório","Música","Produção artística/cultural","Concerto de Violão Solo no Centro de Artes Guido Viaro, em Curitiba-PR"
"46","2009",NULL,NULL,"0007278260015680","Luciana Elisa Lozada Tenório","Música","Produção artística/cultural","Concerto do Duo Lúdico: Atuou como cantora e violonista em concerto realizado durante o III Simpósio Acadêmico de Violãoi da EMBAP"
"47","2010",NULL,NULL,"0007278260015680","Luciana Elisa Lozada Tenório","Música","Produção artística/cultural","Recital de Violão Solo na EMBAP - Escola de Música e Belas Artes do Paraná"
"48","2007",NULL,NULL,"0007278260015680","Luciana Elisa Lozada Tenório","Música","Produção artística/cultural","Recital de Violão Solo durante a XIX Semana da Matemática da UEM - Universidade Estadual de Maringá"
"49","2006",NULL,NULL,"0007278260015680","Luciana Elisa Lozada Tenório","Música","Produção artística/cultural","Recital do Curso Básico"
"50","2009",NULL,NULL,"0007278260015680","Luciana Elisa Lozada Tenório","Música","Produção artística/cultural","Recital do Duo Lúdico, na Escola de Música e Belas Artes do Paraná, onde atuou como cantora e violonista."
"51","2010",NULL,NULL,"0007278260015680","Luciana Elisa Lozada Tenório","Música","Produção artística/cultural","Recital de canto: Cantou no coro feminino Collegium Cantorum: Obras de Villa-Lobos e Mendelssohn"
"52","2009",NULL,NULL,"0007278260015680","Luciana Elisa Lozada Tenório","Música","Produção artística/cultural","Recital do Duo Lúdico no evento solene da Aulas Inaugural da EMBAP, onde atuou como cantora"
"53","2007",NULL,NULL,"0007278260015680","Luciana Elisa Lozada Tenório","Música","Produção artística/cultural","Orquestra de Violões da Embap"
"54","2009",NULL,NULL,"0007278260015680","Luciana Elisa Lozada Tenório","Música","Produção artística/cultural","Concerto: Atuou como cantora e percussionista do Grupo de Música Antiga da Embap, durante o VI Festival de Arte e Cultura Popular do Litoral Paranaense, em Paranaguá-PR"
"55","2009",NULL,NULL,"0007278260015680","Luciana Elisa Lozada Tenório","Música","Produção artística/cultural","Recital: Atuou como cantora e percussionista no Consort Embap, grupo de música antiga"
"56","2007",NULL,NULL,"0007278260015680","Luciana Elisa Lozada Tenório","Música","Produção artística/cultural","Alunos da 1ª série do Curso Superior de Instrumento"
"57","2008",NULL,NULL,"0007278260015680","Luciana Elisa Lozada Tenório","Música","Produção artística/cultural","Recital de Música de Câmara"
"58","2008",NULL,NULL,"0007278260015680","Luciana Elisa Lozada Tenório","Música","Produção artística/cultural","Recital na EMBAP- Escola de Música e Belas Artes do Paraná: como violonista e cantora do Duo Luciana Lozada e Aluísio Coelho"
"59","2009",NULL,NULL,"0007278260015680","Luciana Elisa Lozada Tenório","Música","Produção artística/cultural","Recital como violonista integrante da Orquestra de Violões da Embap"
